序号,基金代码,基金简称,期间涨幅,期间分红(元/份),分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
1,015107,百嘉百顺纯债债券,169.07%,0.6881,3,2022-03-04,1.0000,1.0000,2022-10-17,1.9942,2.6823,2022-03-04,0.00%
2,015106,百嘉百顺纯债债券,166.61%,0.6786,3,2022-03-04,1.0000,1.0000,2022-10-17,1.9787,2.6573,2022-03-04,0.08%
3,007189,南华价值启航纯债,145.46%,0.0400,1,2021-10-18,1.0238,1.0538,2022-10-17,2.4170,2.4870,2019-11-22,--
4,007190,南华价值启航纯债,144.79%,0.0400,1,2021-10-18,1.0398,1.0698,2022-10-17,2.4495,2.5195,2019-11-22,0.00%
5,519212,万家宏观择时多策,53.84%,---,0,2021-10-18,1.3697,1.3697,2022-10-17,2.1072,2.1072,2017-03-30,0.15%
6,008652,长城中债1-3年,51.58%,0.0760,1,2021-10-18,1.0159,1.0159,2022-10-17,1.4638,1.5398,2020-08-11,0.04%
7,008653,长城中债1-3年,51.58%,---,0,2021-10-18,1.0154,1.0154,2022-10-17,1.5391,1.5391,2020-08-11,0.00%
8,159985,华夏饲料豆粕期货,50.29%,---,0,2021-10-18,1.1870,1.1870,2022-10-17,1.7839,1.7839,2019-09-24,--
9,519191,万家新利灵活配置,47.82%,---,0,2021-10-18,1.1322,1.4948,2022-10-17,1.6736,2.0362,2014-01-24,0.06%
10,007937,华夏饲料豆粕期货,45.70%,---,0,2021-10-18,1.1547,1.1547,2022-10-17,1.6824,1.6824,2020-01-13,0.06%
11,004685,金元顺安元启灵活,45.39%,---,0,2021-10-18,2.2936,2.2936,2022-10-17,3.3347,3.3347,2017-11-14,0.15%
12,007938,华夏饲料豆粕期货,45.28%,---,0,2021-10-18,1.1485,1.1485,2022-10-17,1.6685,1.6685,2020-01-13,0.00%
13,005513,南华瑞恒中短债债,42.86%,0.2310,4,2021-10-18,1.0232,1.0232,2022-10-17,1.2299,1.4609,2019-01-29,0.04%
14,005514,南华瑞恒中短债债,42.51%,0.2310,4,2021-10-18,1.0254,1.0254,2022-10-17,1.2296,1.4606,2019-01-29,0.00%
15,519185,万家精选混合A,41.64%,---,0,2021-10-18,1.1245,2.3708,2022-10-17,1.5927,2.8390,2009-05-18,0.15%
16,970085,国联汇富债券C,39.66%,---,0,2021-10-29,1.0000,1.0000,2022-10-17,1.3966,1.3966,2021-10-29,--
17,012928,银华中证光伏ET,31.05%,---,0,2022-04-20,1.0000,1.0000,2022-10-17,1.3105,1.3105,2022-04-20,0.12%
18,012929,银华中证光伏ET,30.89%,---,0,2022-04-20,1.0000,1.0000,2022-10-17,1.3089,1.3089,2022-04-20,0.00%
19,014807,泰达宏利景气智选,27.93%,---,0,2022-03-29,1.0000,1.0000,2022-10-17,1.2793,1.2793,2022-03-29,0.15%
20,005851,财通新视野灵活配,27.74%,---,0,2021-10-18,1.5756,1.5756,2022-10-17,2.0127,2.0127,2018-06-25,0.15%
21,014808,泰达宏利景气智选,27.72%,---,0,2022-03-29,1.0000,1.0000,2022-10-17,1.2772,1.2772,2022-03-29,0.00%
22,501015,财通多策略升级混,27.62%,---,0,2021-10-18,0.9630,0.9630,2022-10-17,1.2290,1.2290,2016-03-09,0.15%
23,003406,南方多元定开债券,27.15%,0.2852,9,2021-10-18,1.2699,1.4034,2022-10-17,1.2587,1.6774,2016-09-29,0.08%
24,005959,财通新视野灵活配,26.74%,---,0,2021-10-18,1.5342,1.5342,2022-10-17,1.9444,1.9444,2018-06-25,0.00%
25,014263,鑫元长三角混合A,26.45%,---,0,2022-03-30,1.0000,1.0000,2022-10-17,1.2645,1.2645,2022-03-30,0.12%
26,014264,鑫元长三角混合C,26.17%,---,0,2022-03-30,1.0000,1.0000,2022-10-17,1.2617,1.2617,2022-03-30,0.00%
27,015566,万家精选混合C,25.03%,---,0,2022-04-25,1.2707,1.2707,2022-10-17,1.5887,1.5887,2022-04-25,0.00%
28,159618,华安中证光伏产业,25.00%,---,0,2022-04-08,1.0000,1.0000,2022-10-17,1.2500,1.2500,2022-04-08,--
29,014647,融通先进制造混合,23.49%,---,0,2022-02-22,1.0000,1.0000,2022-10-17,1.2349,1.2349,2022-02-22,0.15%
30,001678,英大国企改革主题,23.29%,0.3500,1,2021-10-18,1.6685,1.9685,2022-10-17,1.5794,2.2294,2018-11-22,0.15%
31,014648,融通先进制造混合,23.06%,---,0,2022-02-22,1.0000,1.0000,2022-10-17,1.2306,1.2306,2022-02-22,0.00%
32,013851,中信建投低碳成长,21.91%,---,0,2021-12-13,1.0000,1.0000,2022-10-17,1.2191,1.2191,2021-12-13,0.15%
33,013852,中信建投低碳成长,21.51%,---,0,2021-12-13,1.0000,1.0000,2022-10-17,1.2151,1.2151,2021-12-13,0.00%
34,014191,广发先进制造股票,21.30%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.2130,1.2130,2022-03-01,0.15%
35,014192,广发先进制造股票,21.00%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.2100,1.2100,2022-03-01,0.00%
36,015561,长城双动力混合C,20.52%,---,0,2022-04-15,1.2631,1.2631,2022-10-17,1.5223,1.5223,2022-04-15,0.00%
37,002910,易方达供给改革混,20.06%,---,0,2021-10-18,2.3404,2.3404,2022-10-17,2.8100,2.8100,2017-01-25,0.15%
38,014412,招商核心竞争力混,19.17%,---,0,2022-04-13,1.0000,1.0000,2022-10-17,1.1917,1.1917,2022-04-13,0.15%
39,519198,万家颐和灵活配置,18.82%,---,0,2021-10-18,1.4371,1.9371,2022-10-17,1.7076,2.2076,2016-06-23,0.15%
40,012963,招商稳健平衡混合,18.70%,---,0,2021-10-19,1.0000,1.0000,2022-10-17,1.1870,1.1870,2021-10-19,0.15%
41,014413,招商核心竞争力混,18.70%,---,0,2022-04-13,1.0000,1.0000,2022-10-17,1.1870,1.1870,2022-04-13,0.00%
42,002938,中银证券健康产业,18.21%,---,0,2021-10-18,1.9874,1.9874,2022-10-17,2.3494,2.3494,2016-09-07,0.15%
43,014967,建信潜力新蓝筹股,18.14%,---,0,2022-01-25,3.2420,3.2420,2022-10-17,3.8300,3.8300,2022-01-25,0.00%
44,012964,招商稳健平衡混合,17.88%,---,0,2021-10-19,1.0000,1.0000,2022-10-17,1.1788,1.1788,2021-10-19,0.00%
45,001437,易方达瑞享混合I,17.83%,---,0,2021-10-18,2.5520,2.5520,2022-10-17,3.0070,3.0070,2015-06-26,0.06%
46,001438,易方达瑞享混合E,17.62%,---,0,2021-10-18,2.0830,2.0830,2022-10-17,2.4500,2.4500,2015-06-26,0.00%
47,159930,汇添富中证能源E,17.09%,---,0,2021-10-18,1.0264,1.0264,2022-10-17,1.2018,1.2018,2013-08-23,--
48,015665,银河和美生活混合,17.06%,---,0,2022-05-16,1.6585,1.6585,2022-10-17,1.9414,1.9414,2022-05-16,0.00%
49,014948,融通新能源灵活配,16.98%,---,0,2022-03-25,2.4030,2.4030,2022-10-17,2.8110,2.8110,2022-03-25,0.00%
50,014834,汇添富盈鑫混合D,16.73%,---,0,2022-01-17,1.8350,1.8350,2022-10-17,2.1420,2.1420,2022-01-17,--
51,014902,长城新能源股票发,16.65%,---,0,2022-01-19,1.0000,1.0000,2022-10-17,1.1665,1.1665,2022-01-19,0.15%
52,014833,汇添富盈鑫混合C,16.51%,---,0,2022-01-17,1.8350,1.8350,2022-10-17,2.1380,2.1380,2022-01-17,0.00%
53,010509,中银彭博政策性银,16.28%,0.0100,1,2021-10-18,1.0098,1.0123,2022-10-17,1.1627,1.1752,2021-03-11,0.05%
54,014903,长城新能源股票发,16.15%,---,0,2022-01-19,1.0000,1.0000,2022-10-17,1.1615,1.1615,2022-01-19,0.00%
55,014990,华安幸福生活混合,16.15%,---,0,2022-05-10,2.1270,2.1270,2022-10-17,2.4705,2.4705,2022-05-10,0.00%
56,000756,建信潜力新蓝筹股,16.00%,---,0,2021-10-18,3.3120,3.3120,2022-10-17,3.8420,3.8420,2014-09-10,0.15%
57,006195,国金量化多因子股,15.95%,---,0,2021-10-18,1.5478,1.5478,2022-10-17,1.7947,1.7947,2018-10-31,0.15%
58,015710,华夏高端装备龙头,15.79%,---,0,2022-05-25,1.0000,1.0000,2022-10-17,1.1579,1.1579,2022-05-25,0.15%
59,003175,华泰柏瑞多策略混,15.70%,---,0,2021-10-18,1.7946,1.7946,2022-10-17,2.0764,2.0764,2016-09-29,0.15%
60,008422,中融研发创新混合,15.70%,---,0,2021-12-28,1.0000,1.0000,2022-10-17,1.1570,1.1570,2021-12-28,0.15%
61,001743,诺安优选回报混合,15.68%,---,0,2021-10-18,1.5310,1.7810,2022-10-17,1.7710,2.0210,2016-09-22,0.15%
62,015773,招商移动互联网产,15.63%,---,0,2022-05-13,1.1981,1.1981,2022-10-17,1.3854,1.3854,2022-05-13,0.00%
63,015711,华夏高端装备龙头,15.62%,---,0,2022-05-25,1.0000,1.0000,2022-10-17,1.1562,1.1562,2022-05-25,0.00%
64,004475,华泰柏瑞富利混合,15.59%,---,0,2021-10-18,1.6248,1.6248,2022-10-17,1.8781,1.8781,2017-09-12,0.15%
65,008423,中融研发创新混合,15.24%,---,0,2021-12-28,1.0000,1.0000,2022-10-17,1.1524,1.1524,2021-12-28,0.00%
66,014805,国金量化精选混合,15.22%,---,0,2022-03-18,1.0000,1.0000,2022-10-17,1.1522,1.1522,2022-03-18,0.15%
67,015594,国泰区位优势混合,15.17%,---,0,2022-05-16,3.5725,3.5725,2022-10-17,4.1146,4.1146,2022-05-16,0.00%
68,014574,鑫元清洁能源混合,15.06%,---,0,2022-01-26,1.0000,1.0000,2022-10-17,1.1506,1.1506,2022-01-26,0.12%
69,008952,中信建投桂企债A,15.01%,0.0400,1,2021-10-18,1.0129,1.0349,2022-10-17,1.1249,1.1869,2020-06-04,0.08%
70,014806,国金量化精选混合,14.89%,---,0,2022-03-18,1.0000,1.0000,2022-10-17,1.1489,1.1489,2022-03-18,0.00%
71,014575,鑫元清洁能源混合,14.75%,---,0,2022-01-26,1.0000,1.0000,2022-10-17,1.1475,1.1475,2022-01-26,0.00%
72,008953,中信建投桂企债C,14.74%,0.0350,1,2021-10-18,1.0053,1.0253,2022-10-17,1.1185,1.1735,2020-06-04,0.00%
73,160921,大成多策略混合(,14.64%,---,0,2021-10-18,1.2500,1.6070,2022-10-17,1.4330,1.7900,2016-08-19,0.15%
74,014414,招商中证畜牧养殖,14.54%,---,0,2022-04-19,1.0000,1.0000,2022-10-17,1.1454,1.1454,2022-04-19,0.12%
75,014736,创金合信专精特新,14.26%,---,0,2022-01-26,1.0000,1.0000,2022-10-17,1.1426,1.1426,2022-01-26,0.15%
76,014415,招商中证畜牧养殖,14.21%,---,0,2022-04-19,1.0000,1.0000,2022-10-17,1.1421,1.1421,2022-04-19,0.00%
77,014737,创金合信专精特新,13.85%,---,0,2022-01-26,1.0000,1.0000,2022-10-17,1.1385,1.1385,2022-01-26,0.00%
78,015208,信澳健康中国混合,13.45%,---,0,2022-03-03,2.1340,2.1340,2022-10-17,2.4210,2.4210,2022-03-03,0.00%
79,010084,蜂巢丰瑞债券A,13.43%,0.4270,6,2021-10-18,1.4655,1.4655,2022-10-17,1.2286,1.6556,2021-04-29,0.06%
80,015685,鹏华中证环保产业,13.40%,---,0,2022-05-10,1.0000,1.0000,2022-10-17,1.1340,1.1340,2022-05-10,0.00%
81,162717,广发再融资主题(,13.28%,---,0,2021-10-18,1.4564,1.4564,2022-10-17,1.6498,1.6498,2016-12-19,0.15%
82,008893,创金合信鑫利混合,13.27%,---,0,2021-10-18,1.1679,1.1679,2022-10-17,1.3229,1.3229,2020-01-17,0.12%
83,010085,蜂巢丰瑞债券C,13.27%,0.3800,6,2021-10-18,1.4011,1.4011,2022-10-17,1.2013,1.5813,2021-04-29,0.00%
84,013711,广发再融资主题(,13.21%,---,0,2021-10-18,1.4564,1.4564,2022-10-17,1.6488,1.6488,2021-09-23,0.00%
85,008894,创金合信鑫利混合,13.07%,---,0,2021-10-18,1.1600,1.1600,2022-10-17,1.3116,1.3116,2020-01-17,0.00%
86,014350,华商卓越成长一年,12.80%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.1280,1.1280,2022-03-01,--
87,015450,华泰柏瑞多策略混,12.54%,---,0,2022-03-23,1.8420,1.8420,2022-10-17,2.0729,2.0729,2022-03-23,0.00%
88,519519,华泰柏瑞稳本增利,12.50%,0.0663,1,2021-10-18,1.0545,1.5803,2022-10-17,1.1126,1.7047,2006-04-13,0.08%
89,014351,华商卓越成长一年,12.37%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.1237,1.1237,2022-03-01,0.00%
90,460003,华泰柏瑞稳本增利,12.16%,0.0603,1,2021-10-18,1.0463,1.5304,2022-10-17,1.1066,1.6510,2007-12-03,0.00%
91,000729,建信中小盘先锋股,12.11%,---,0,2021-10-18,3.7320,3.7320,2022-10-17,4.1840,4.1840,2014-08-20,0.15%
92,002420,汇添富盈鑫混合A,12.02%,---,0,2021-10-18,1.9140,1.9140,2022-10-17,2.1440,2.1440,2016-03-11,0.12%
93,161032,富国中证煤炭指数,11.98%,---,0,2021-10-18,1.8440,1.2850,2022-10-17,2.0650,1.4390,2015-06-19,0.00%
94,011229,创金合信数字经济,11.98%,---,0,2021-10-18,1.3716,1.3716,2022-10-17,1.5359,1.5359,2021-01-20,0.15%
95,008279,国泰中证煤炭ET,11.94%,0.3000,1,2021-10-18,2.2532,2.2532,2022-10-17,2.1287,2.4287,2020-01-16,0.10%
96,013502,易方达中证内地低,11.89%,---,0,2022-04-07,1.0000,1.0000,2022-10-17,1.1189,1.1189,2022-04-07,0.12%
97,015059,华夏产业升级混合,11.83%,---,0,2022-02-22,1.9069,1.9069,2022-10-17,2.1325,2.1325,2022-02-22,0.00%
98,016062,大成多策略混合(,11.81%,---,0,2022-06-23,1.2790,1.2790,2022-10-17,1.4300,1.4300,2022-06-23,0.00%
99,013275,富国中证煤炭指数,11.71%,---,0,2021-10-18,1.8440,1.8440,2022-10-17,2.0600,2.0600,2021-08-19,0.00%
100,014327,格林新兴产业混合,11.64%,---,0,2022-03-08,1.0000,1.0000,2022-10-17,1.1164,1.1164,2022-03-08,0.15%
101,013503,易方达中证内地低,11.62%,---,0,2022-04-07,1.0000,1.0000,2022-10-17,1.1162,1.1162,2022-04-07,0.00%
102,008280,国泰中证煤炭ET,11.60%,0.3000,1,2021-10-18,2.2419,2.2419,2022-10-17,2.1095,2.4095,2020-01-16,0.00%
103,168204,中融中证煤炭指数,11.55%,---,0,2021-10-18,1.7150,1.7150,2022-10-17,1.9130,1.9130,2015-06-25,0.00%
104,015633,中金景气驱动混合,11.53%,---,0,2022-05-05,1.0000,1.0000,2022-10-17,1.1153,1.1153,2022-05-05,0.15%
105,011230,创金合信数字经济,11.42%,---,0,2021-10-18,1.3665,1.3665,2022-10-17,1.5226,1.5226,2021-01-20,0.00%
106,013788,华泰柏瑞信用增利,11.38%,---,0,2021-10-18,1.2407,1.2407,2022-10-17,1.3819,1.3819,2021-10-11,0.00%
107,014913,博时研究回报混合,11.36%,---,0,2022-03-15,1.0000,1.0000,2022-10-17,1.1136,1.1136,2022-03-15,0.15%
108,164606,华泰柏瑞信用增利,11.35%,---,0,2021-10-18,1.2404,1.4339,2022-10-17,1.3812,1.5747,2011-09-22,0.08%
109,015200,创金合信动态平衡,11.31%,---,0,2022-05-06,1.0000,1.0000,2022-10-17,1.1131,1.1131,2022-05-06,0.15%
110,470021,汇添富优选回报灵,11.31%,---,0,2021-10-18,2.1670,2.1670,2022-10-17,2.4120,2.4120,2013-01-24,0.15%
111,014328,格林新兴产业混合,11.28%,---,0,2022-03-08,1.0000,1.0000,2022-10-17,1.1128,1.1128,2022-03-08,0.00%
112,007781,天弘弘新混合发起,11.24%,---,0,2021-10-18,1.2098,1.2098,2022-10-17,1.3458,1.3458,2019-08-21,0.10%
113,014508,汇添富先进制造混,11.14%,---,0,2022-03-02,1.0000,1.0000,2022-10-17,1.1114,1.1114,2022-03-02,0.15%
114,014854,嘉实中证半导体指,11.14%,---,0,2022-04-22,1.0000,1.0000,2022-10-17,1.1114,1.1114,2022-04-22,0.10%
115,015634,中金景气驱动混合,11.13%,---,0,2022-05-05,1.0000,1.0000,2022-10-17,1.1113,1.1113,2022-05-05,0.00%
116,014472,景顺长城远见成长,11.07%,---,0,2022-01-25,1.0000,1.0000,2022-10-17,1.1107,1.1107,2022-01-25,0.15%
117,015201,创金合信动态平衡,11.07%,---,0,2022-05-06,1.0000,1.0000,2022-10-17,1.1107,1.1107,2022-05-06,0.00%
118,015850,农银行业轮动混合,11.02%,---,0,2022-05-26,6.3622,6.3622,2022-10-17,7.0633,7.0633,2022-05-26,0.00%
119,014855,嘉实中证半导体指,11.01%,---,0,2022-04-22,1.0000,1.0000,2022-10-17,1.1101,1.1101,2022-04-22,0.00%
120,015722,长城中小盘成长混,11.00%,---,0,2022-05-13,2.7200,2.7200,2022-10-17,3.0193,3.0193,2022-05-13,0.00%
121,014914,博时研究回报混合,10.98%,---,0,2022-03-15,1.0000,1.0000,2022-10-17,1.1098,1.1098,2022-03-15,0.00%
122,015592,国泰事件驱动策略,10.98%,---,0,2022-05-20,4.8594,4.8594,2022-10-17,5.3928,5.3928,2022-05-20,0.00%
123,013871,招商能源转型混合,10.97%,---,0,2022-02-08,1.0000,1.0000,2022-10-17,1.1097,1.1097,2022-02-08,0.15%
124,014509,汇添富先进制造混,10.89%,---,0,2022-03-02,1.0000,1.0000,2022-10-17,1.1089,1.1089,2022-03-02,0.00%
125,015945,易方达国防军工混,10.84%,---,0,2022-06-21,1.7620,1.7620,2022-10-17,1.9530,1.9530,2022-06-21,0.00%
126,000772,景顺长城中国回报,10.83%,---,0,2021-10-18,1.8650,1.8650,2022-10-17,2.0670,2.0670,2014-11-06,0.15%
127,002418,汇添富优选回报灵,10.78%,---,0,2021-10-18,2.1530,2.1530,2022-10-17,2.3850,2.3850,2016-02-03,0.00%
128,015385,华商智能生活灵活,10.75%,---,0,2022-03-18,2.5960,2.5960,2022-10-17,2.8750,2.8750,2022-03-18,0.00%
129,515220,国泰中证煤炭ET,10.74%,0.0800,1,2021-10-18,2.3573,2.3573,2022-10-17,2.5099,2.5899,2020-01-20,--
130,002342,融通增益债券A/,10.70%,---,0,2021-10-18,1.1120,1.2120,2022-10-17,1.2310,1.3310,2016-05-11,--
131,014972,华安沪港深外延增,10.67%,---,0,2022-05-10,3.4490,3.4490,2022-10-17,3.8170,3.8170,2022-05-10,0.00%
132,014597,华泰柏瑞富利混合,10.65%,---,0,2021-12-22,1.6866,1.6866,2022-10-17,1.8662,1.8662,2021-12-22,0.00%
133,014473,景顺长城远见成长,10.59%,---,0,2022-01-25,1.0000,1.0000,2022-10-17,1.1059,1.1059,2022-01-25,0.00%
134,516670,招商中证畜牧养殖,10.54%,---,0,2021-10-18,0.8303,0.8303,2022-10-17,0.9178,0.9178,2021-03-18,--
135,015068,华夏圆和混合C,10.52%,---,0,2022-02-22,1.0746,1.0746,2022-10-17,1.1877,1.1877,2022-02-22,0.00%
